ticket_id,issue_area,issue_category,issue_sub_category,customer_sentiment,issue_complexity,product_category,product_sub_category,priority
1,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,Laptop,low
2,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,Laptop,medium
3,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,Laptop,medium
4,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,Laptop,medium
5,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,Laptop,high
6,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,Laptop,high
7,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,Laptop,urgent
8,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,Laptop,high
9,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,Laptop,urgent
10,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,Mobile,low
11,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,Mobile,medium
12,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,Mobile,medium
13,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,Mobile,medium
14,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,Mobile,high
15,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,Mobile,high
16,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,Mobile,high
17,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,Mobile,high
18,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,Mobile,urgent
19,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,Television,low
20,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,Television,medium
21,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,Television,medium
22,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,Television,medium
23,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,Television,high
24,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,Television,high
25,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,Television,high
26,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,Television,high
27,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,Television,urgent
28,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,Tablet,low
29,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,Tablet,medium
30,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,Tablet,medium
31,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,Tablet,medium
32,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,Tablet,high
33,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,Tablet,high
34,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,Tablet,high
35,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,Tablet,high
36,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,Tablet,urgent
37,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,Headphone,low
38,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,Headphone,medium
39,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,Headphone,medium
40,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,Headphone,medium
41,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,Headphone,high
42,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,Headphone,high
43,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,Headphone,high
44,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,Headphone,high
45,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,Headphone,urgent
46,Order,Order Delivery Issues,Delayed delivery,neutral,less,Electronics,DSLR Camera,low
47,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Electronics,DSLR Camera,medium
48,Order,Order Delivery Issues,Delayed delivery,neutral,high,Electronics,DSLR Camera,medium
49,Order,Order Delivery Issues,Delayed delivery,negative,less,Electronics,DSLR Camera,medium
50,Order,Order Delivery Issues,Delayed delivery,negative,medium,Electronics,DSLR Camera,high
51,Order,Order Delivery Issues,Delayed delivery,negative,high,Electronics,DSLR Camera,high
52,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Electronics,DSLR Camera,high
53,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Electronics,DSLR Camera,high
54,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Electronics,DSLR Camera,urgent
55,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Refrigerator,low
56,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Refrigerator,medium
57,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Refrigerator,medium
58,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Refrigerator,medium
59,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Refrigerator,medium
60,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Refrigerator,high
61,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Refrigerator,high
62,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Refrigerator,high
63,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Refrigerator,urgent
64,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Washing Machine,low
65,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Washing Machine,medium
66,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Washing Machine,medium
67,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Washing Machine,medium
68,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Washing Machine,high
69,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Washing Machine,high
70,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Washing Machine,high
71,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Washing Machine,high
72,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Washing Machine,urgent
73,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Microwave Oven,low
74,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Microwave Oven,medium
75,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Microwave Oven,medium
76,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Microwave Oven,medium
77,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Microwave Oven,high
78,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Microwave Oven,high
79,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Microwave Oven,high
80,Order,Order Delivery Issues,Delayed delivery,frustrated,medium,Appliances,Microwave Oven,high
81,Order,Order Delivery Issues,Delayed delivery,frustrated,high,Appliances,Microwave Oven,urgent
82,Order,Order Delivery Issues,Delayed delivery,neutral,less,Appliances,Air Conditioner,low
83,Order,Order Delivery Issues,Delayed delivery,neutral,medium,Appliances,Air Conditioner,medium
84,Order,Order Delivery Issues,Delayed delivery,neutral,high,Appliances,Air Conditioner,medium
85,Order,Order Delivery Issues,Delayed delivery,negative,less,Appliances,Air Conditioner,medium
86,Order,Order Delivery Issues,Delayed delivery,negative,medium,Appliances,Air Conditioner,high
87,Order,Order Delivery Issues,Delayed delivery,negative,high,Appliances,Air Conditioner,high
88,Order,Order Delivery Issues,Delayed delivery,frustrated,less,Appliances,Air Conditioner,high
